Department1,Department2,Author1,Author2,Project
Dentistry,Engineer,William V. Giannobile,Mihaela Banu,Personalized Products and Production
Engineer,Engineer,Mark Burns,Mihaela Banu,Personalized Products and Production
Dentistry,Engineer,William V. Giannobile,Mark Burns,Personalized Products and Production
Engineer,Engineer,Dawn Tilbury,Zhuoqing (Morley) Mao,Supporting Cyber-enabled Advanced Manufacturing with
Engineer,LSA:NatSci,Zhuoqing (Morley) Mao,Ji Zhu,Supporting Cyber-enabled Advanced Manufacturing with
Engineer,LSA:NatSci,Dawn Tilbury,Ji Zhu,Supporting Cyber-enabled Advanced Manufacturing with
Engineer,LSA:NatSci,Eric Kort,Kerri Pratt,Climate and Air Quality Impacts of Greenhouse Gases
LSA:NatSci,PubHealth,Kerri Pratt,Andrew Ault,Climate and Air Quality Impacts of Greenhouse Gases
Engineer,PubHealth,Eric Kort,Andrew Ault,Climate and Air Quality Impacts of Greenhouse Gases
Engineer,Engineer,Jeffrey A. Fessler,Douglas C. Noll,Imaging Fleeting Thoughts
Engineer,LSA:NatSci,Douglas C. Noll,Anna Gilbert,Imaging Fleeting Thoughts
Engineer,LSA:NatSci,Jeffrey A. Fessler,Anna Gilbert,Imaging Fleeting Thoughts
Engineer,LSA:NatSci,Edgar Meyhofer,Daniel Burns,Data and Algorithms for Modeling the 4D Genome
Engineer,LSA:NatSci,Noel Perkins,Daniel Burns,Data and Algorithms for Modeling the 4D Genome
Engineer,Engineer,Noel Perkins,Edgar Meyhofer,Data and Algorithms for Modeling the 4D Genome
Engineer,Engineer,Timothy F. Scott,Emmanuelle Marquis,"Design, synthesis, and imaging of novel bone adhesive"
Dentistry,Engineer,Brian Clarkson,Emmanuelle Marquis,"Design, synthesis, and imaging of novel bone adhesive"
Dentistry,Engineer,Brian Clarkson,Timothy F. Scott,"Design, synthesis, and imaging of novel bone adhesive"
LSA:Hum,LSA:SocSci,Silke Weineck,Elizabeth Wingrove,Engaging Translation
LSA:Hum,LSA:Hum,Yopie Prins,Silke Weineck,Engaging Translation
LSA:Hum,LSA:SocSci,Yopie Prins,Elizabeth Wingrove,Engaging Translation
LSA:NatSci,LSA:SocSci,Bob Kennedy,Joshua Berke,Microdialysis of Striatal Modulators during Adaptive
LSA:SocSci,LSA:SocSci,Brandon Aragona,Joshua Berke,Microdialysis of Striatal Modulators during Adaptive
LSA:NatSci,LSA:SocSci,Bob Kennedy,Brandon Aragona,Microdialysis of Striatal Modulators during Adaptive
Engineer,Kines,C. David Remy,Deanna Gates,Reducing effort through an augmented lower limb prosthese
Engineer,Kines,Art Kuo,Deanna Gates,Reducing effort through an augmented lower limb prosthese
Engineer,Engineer,Art Kuo,C. David Remy,Reducing effort through an augmented lower limb prosthese
Engineer,Engineer,Laura Kathryn Balzano,Branko Kerkez,"A mathematical, scientific and measurement framework"
Engineer,Graham Institute,Branko Kerkez,Don Scavia,"A mathematical, scientific and measurement framework"
Engineer,Graham Institute,Laura Kathryn Balzano,Don Scavia,"A mathematical, scientific and measurement framework"
LSA:Hum,LSA:SocSci,"William ""Buzz"" Alexander",Ashley Lucas,Prison Creative Arts Project Image Archive
LSA:SocSci,LSA:SocSci,Charlie Bright,Ashley Lucas,Prison Creative Arts Project Image Archive
LSA:Hum,LSA:SocSci,"William ""Buzz"" Alexander",Charlie Bright,Prison Creative Arts Project Image Archive
Engineer,Info,Prabal Dutta,Douglas Van Houweling,National Infrastructure for Sensor Networking
Engineer,Info,Mingyan Liu,Douglas Van Houweling,National Infrastructure for Sensor Networking
Engineer,Engineer,Mingyan Liu,Prabal Dutta,National Infrastructure for Sensor Networking
Nursing,Pharmacy,Patricia Abbott,James Stevenson,Enabling Patient-Centered Care With Advanced Mobile
Engineer,Nursing,Robert Dick,Patricia Abbott,Enabling Patient-Centered Care With Advanced Mobile
Engineer,Pharmacy,Robert Dick,James Stevenson,Enabling Patient-Centered Care With Advanced Mobile
LSA:Hum,LSA:SocSci,Marlyse Baptista,Ken Kollman,"Modeling linguistic convergence, divergence and innovation"
LSA:Hum,LSA:NatSci,Marlyse Baptista,Jihno Baik,"Modeling linguistic convergence, divergence and innovation"
LSA:NatSci,LSA:SocSci,Jihno Baik,Ken Kollman,"Modeling linguistic convergence, divergence and innovation"
LSA:SocSci,PubHealth,Ashley Gearhardt,Peter  Song,Maternal Feeding Project Team 3
Kines,LSA:SocSci,Dale Ulrich,Ashley Gearhardt,Maternal Feeding Project Team 3
Kines,PubHealth,Dale Ulrich,Peter  Song,Maternal Feeding Project Team 3
NatResEnv,PubHealth,Ming Xu,Olivier J. Jolliet,Influence of global trade on the human health impacts
Engineer,PubHealth,Steve Skerlos,Olivier J. Jolliet,Influence of global trade on the human health impacts
Engineer,NatResEnv,Steve Skerlos,Ming Xu,Influence of global trade on the human health impacts
Nursing,PubHealth,Minkyoung Song,Dana Dolinoy,Maternal Feeding Project - Team 2
LSA:SocSci,PubHealth,Kristen Harrison,Dana Dolinoy,Maternal Feeding Project - Team 2
LSA:SocSci,Nursing,Kristen Harrison,Minkyoung Song,Maternal Feeding Project - Team 2
ArchUrban,LSA:Hum,Steven Mankouche,Christopher Ratte,Architectural Revolutions from the Roman Empire to
LSA:Hum,LSA:Hum,Nicola Terrenato,Christopher Ratte,Architectural Revolutions from the Roman Empire to
ArchUrban,LSA:Hum,Steven Mankouche,Nicola Terrenato,Architectural Revolutions from the Roman Empire to
PubHealth,PubHealth,Ana Baylin,Alison Miller,The Maternal Feeding Study - Team 1
LSA:SocSci,PubHealth,Pam Davis-Kean,Alison Miller,The Maternal Feeding Study - Team 1
LSA:SocSci,PubHealth,Pam Davis-Kean,Ana Baylin,The Maternal Feeding Study - Team 1
ArchUrban,PubHealth,Larissa Larsen,Marie Sylvia O'Neill,"Environment, infection, antioxidant vitamins and preterm"
PubHealth,PubHealth,Rita Loch-Caruso,Marie Sylvia O'Neill,"Environment, infection, antioxidant vitamins and preterm"
ArchUrban,PubHealth,Larissa Larsen,Rita Loch-Caruso,"Environment, infection, antioxidant vitamins and preterm"
Dentistry,Dentistry,Theodora Danciu,Alexandre DaSilva,Non-invasive Neuromodulation of the Brain as an Adjuvant
Dentistry,PubHealth,Alexandre DaSilva,Laura Marie Rozek,Non-invasive Neuromodulation of the Brain as an Adjuvant
Dentistry,PubHealth,Theodora Danciu,Laura Marie Rozek,Non-invasive Neuromodulation of the Brain as an Adjuvant
Engineer,LSA:NatSci,Zhen Xu,Wolfgang Lorenzon,Targeted Nanoplatform-enabled Sonodynamic Cardiac
Engineer,Engineer,Xudong (Sherman) Fan,Zhen Xu,Targeted Nanoplatform-enabled Sonodynamic Cardiac
Engineer,LSA:NatSci,Xudong (Sherman) Fan,Wolfgang Lorenzon,Targeted Nanoplatform-enabled Sonodynamic Cardiac
ArchUrban,ArchUrban,Sean Vance,Milton Curry,Active Classroom
ArchUrban,Kines,Milton Curry,Rebecca Hasson,Active Classroom
ArchUrban,Kines,Sean Vance,Rebecca Hasson,Active Classroom
LSA:SocSci,PubPolicy,Jeffrey Smith,Kevin Stange,Does Capacity Constrain Student Success in Higher
LSA:SocSci,PubPolicy,John Bound,Kevin Stange,Does Capacity Constrain Student Success in Higher
LSA:SocSci,LSA:SocSci,John Bound,Jeffrey Smith,Does Capacity Constrain Student Success in Higher
